Code,AreaName,part,Type,TotalPop,TMales,TFemales,ITotalPop,IMales,IFemales,LTotalPop,LMales,LFemales,LWETotalPop,LWEMales,LWEFemales,BPTotalPop,BPMales,BPFemales,PTotalPop,PMales,PFemales,MTotalPop,MMales,MFemales,STotalPop,SMales,SFemales,SSTotalPop,SSMales,SSFemales,NTDTotalPop,NTDMales,NTDFemales,TDTotalPop,TDMales,TDFemales,GTotalPop,GMales,GFemales,UNTotalPop,UNMales,UNFemales
5, UTTARAKHAND,Central,Rural,7036954,3519042,3517912,2422904,922871,1500033,4614050,2596171,2017879,98382,47334,51048,763789,405044,358745,1158397,595425,562972,1055738,607483,448255,670585,418485,252100,450714,270163,180551,2080,1216,864,16165,13516,2649,386054,231662,154392,12146,5843,6303
5, UTTARAKHAND,Central,Urban,3049338,1618731,1430607,782435,351194,431241,2266903,1267537,999366,47524,25562,21962,270794,149386,121408,392177,207631,184546,351133,199287,151846,348905,209492,139413,304294,174500,129794,2736,1886,850,20007,16556,3451,524234,280406,243828,5099,2831,2268
6, HARYANA,North,Total,25351462,13494734,11856728,8752474,3700667,5051807,16598988,9794067,6804921,395890,212259,183631,2473145,1403012,1070133,3772022,2075334,1696688,2705282,1557670,1147612,3225936,2064923,1161013,1892113,1199855,692258,30614,17774,12840,195115,143883,51232,1877085,1102809,774276,31786,16548,15238
6, HARYANA,North,Rural,16509359,8774006,7735353,6350917,2633907,3717010,10158442,6140099,4018343,233974,129046,104928,1721502,979683,741819,2663725,1481060,1182665,1790768,1044222,746546,1962766,1300547,662219,1089432,727910,361522,12984,8221,4763,98108,77127,20981,565061,381815,183246,20122,10468,9654
6, HARYANA,North,Urban,8842103,4720728,4121375,2401557,1066760,1334797,6440546,3653968,2786578,161916,83213,78703,751643,423329,328314,1108297,594274,514023,914514,513448,401066,1263170,764376,498794,802681,471945,330736,17630,9553,8077,97007,66756,30251,1312024,720994,591030,11664,6080,5584
7, NCT OF DELHI,North,Total,16787941,8987326,7800615,4050174,1792470,2257704,12737767,7194856,5542911,453455,239952,213503,1458061,796975,661086,2230894,1197622,1033272,1931411,1099958,831453,2186314,1318133,868181,1598435,930296,668139,12538,6430,6108,94586,61852,32734,2757844,1535972,1221872,14229,7666,6563
7, NCT OF DELHI,North,Rural,419042,226321,192721,122442,51994,70448,296600,174327,122273,8213,4460,3753,40394,22595,17799,59411,31897,27514,52739,30035,22704,61926,38776,23150,42190,27000,15190,143,75,68,2717,1597,1120,28558,17725,10833,309,167,142
7, NCT OF DELHI,North,Urban,16368899,8761005,7607894,3927732,1740476,2187256,12441167,7020529,5420638,445242,235492,209750,1417667,774380,643287,2171483,1165725,1005758,1878672,1069923,808749,2124388,1279357,845031,1556245,903296,652949,12395,6355,6040,91869,60255,31614,2729286,1518247,1211039,13920,7499,6421
8, RAJASTHAN,North,Total,68548437,35550997,32997440,30273155,11862585,18410570,38275282,23688412,14586870,1806164,1084848,721316,8083827,4423518,3660309,10524424,6143552,4380872,7319223,4788350,2530873,4610185,3168905,1441280,2515863,1752886,762977,7522,4801,2721,164634,129531,35103,3063282,2086247,977035,180158,105774,74384
8, RAJASTHAN,North,Rural,51500352,26641747,24858605,25028566,9737158,15291408,26471786,16904589,9567197,1271420,791987,479433,6350821,3506792,2844029,8056837,4849831,3207006,5238474,3592691,1645783,2791953,2044266,747687,1404512,1059146,345366,2778,1991,787,89338,71962,17376,1130814,905012,225802,134839,80911,53928
8, RAJASTHAN,North,Urban,17048085,8909250,8138835,5244589,2125427,3119162,11803496,6783823,5019673,534744,292861,241883,1733006,916726,816280,2467587,1293721,1173866,2080749,1195659,885090,1818232,1124639,693593,1111351,693740,417611,4744,2810,1934,75296,57569,17727,1932468,1181235,751233,45319,24863,20456
9, UTTAR PRADESH,Central,Total,199812341,104480510,95331831,85414786,36245546,49169240,114397555,68234964,46162591,5381466,3219206,2162260,21424480,11763367,9661113,27798792,15505178,12293614,23122728,14276668,8846060,15137315,9748121,5389194,10807005,6820583,3986422,135958,73327,62631,189869,167522,22347,9919838,6378138,3541700,480104,282854,197250
9, UTTAR PRADESH,Central,Rural,155317278,80992995,74324283,70032598,29199307,40833291,85284680,51793688,33490992,3845233,2347662,1497571,17578607,9646918,7931689,22391245,12594860,9796385,18300002,11539043,6760959,10759925,7193250,3566675,7242155,4800640,2441515,83863,40781,43082,90859,83600,7259,4654942,3344339,1310603,337849,202595,135254
9, UTTAR PRADESH,Central,Urban,44495063,23487515,21007548,15382188,7046239,8335949,29112875,16441276,12671599,1536233,871544,664689,3845873,2116449,1729424,5407547,2910318,2497229,4822726,2737625,2085101,4377390,2554871,1822519,3564850,2019943,1544907,52095,32546,19549,99010,83922,15088,5264896,3033799,2231097,142255,80259,61996
10, BIHAR,Eastern,Total,104099452,54278157,49821295,51594899,22670134,28924765,52504553,31608023,20896530,3025999,1748926,1277073,13701980,7308358,6393622,13154969,7625383,5529586,7969599,4930890,3038709,7266128,4785058,2481070,3839395,2584078,1255317,93051,58956,34095,35466,30839,4627,3061676,2326092,735584,356290,209443,146847
10, BIHAR,Eastern,Rural,92341436,48073850,44267586,47529284,20832020,26697264,44812152,27241830,17570322,2661185,1550711,1110474,12370917,6611758,5759159,11717783,6878975,4838808,6873883,4333233,2540650,5974728,4063729,1910999,2940913,2054874,886039,77793,49520,28273,24196,21396,2800,1851135,1488731,362404,319619,188903,130716
10, BIHAR,Eastern,Urban,11758016,6204307,5553709,4065615,1838114,2227501,7692401,4366193,3326208,364814,198215,166599,1331063,696600,634463,1437186,746408,690778,1095716,597657,498059,1291400,721329,570071,898482,529204,369278,15258,9436,5822,11270,9443,1827,1210541,837361,373180,36671,20540,16131
11, SIKKIM,North Eastern,Total,610577,323070,287507,165625,71801,93824,444952,251269,193683,17628,10158,7470,116100,66658,49442,115601,62664,52937,69545,37520,32025,53268,31220,22048,36122,20910,15212,155,103,52,1633,1187,446,32669,19290,13379,2231,1559,672
11, SIKKIM,North Eastern,Rural,456999,242797,214202,135069,58552,76517,321930,184245,137685,13737,8185,5552,96333,56198,40135,90078,48838,41240,48951,26434,22517,34072,20731,13341,21348,12950,8398,77,53,24,786,579,207,14545,8888,5657,2003,1389,614
